A12.5,A11,A10,A9.1,A9,A8.3,A5.6,A5,A3,N50,NBANK,NAUTO,NIT,NPHARMA,NMEDIA,NMETAL,NFMCG,NREALESTATE
NCC,L&TFH,GOLDBEES,ICICIPRULI,TATAMTRDVR,IOC,EQUITAS,RBLBANK,RADICO,TATAMOTORS,YESBANK,AMARAJABAT,HCLTECH,AUROPHARMA,DBCORP,APLAPOLLO,BRITANNIA,BRIGADE
COLPAL,SUNTV,JUSTDIAL,,HINDPETRO,DIVISLAB,,INDUSINDBK,PTC,BRITANNIA,INDUSINDBK,APOLLOTYRE,INFIBEAM,BIOCON,DEN,COALINDIA,COLPAL,DLF
HINDALCO,PFC,STAR,,TATAMOTORS,,,PNB,NHPC,TATASTEEL,PNB,ASHOKLEY,INFY,CADILAHC,DISHTV,HINDALCO,DABUR,GODREJPROP
TCS,JINDALSTEL,LIQUIDBEES,,,,,IDFCFIRSTB,NH,YESBANK,BANKBARODA,BAJAJ-AUTO,MINDTREE,CIPLA,EROSMEDIA,HINDCOPPER,EMAMILTD,IBREALEST
TECHM,UNIONBANK,BANKBEES,,,,,JUBLFOOD,NIACL,NTPC,SBIN,BHARATFORG,NIITTECH,DIVISLAB,HATHWAY,HINDZINC,GSKCONS,MAHLIFE
ONGC,SRTRANSFIN,NIFTYBEES,,,,,IDEA,NETWORK18,GAIL,FEDERALBNK,BOSCHLTD,OFSS,DRREDDY,INOXLEISUR,JSWSTEEL,GODREJCP,OBEROIRLTY
MANAPPURAM,,,,,,,DLF,NFL,EICHERMOT,ICICIBANK,EICHERMOT,TCS,GLENMARK,JAGRAN,JSLHISAR,GODREJIND,PHOENIXLTD
DABUR,,,,,,,BSOFT,QUICKHEAL,INDUSINDBK,AXISBANK,EXIDEIND,TATAELXSI,LUPIN,NAVNETEDUL,JINDALSTEL,HINDUNILVR,PRESTIGE
OIL,,,,,,,PAGEIND,NLCINDIA,M&M,HDFCBANK,HEROMOTOCO,TECHM,PEL,NETWORK18,MOIL,ITC,SOBHA
CUMMINSIND,,,,,,,BANKINDIA,PRESTIGE,BPCL,IDFCFIRSTB,MRF,WIPRO,SUNPHARMA,PVR,NMDC,JUBLFOOD,SUNTECK
MARICO,,,,,,,UJJIVAN,PFIZER,ULTRACEMCO,KOTAKBANK,M&M,,,SUNTV,NATIONALUM,MARICO,
MARUTI,,,,,,,BHARTIARTL,PRAJIND,VEDL,RBLBANK,MARUTI,,,TVTODAY,SAIL,PGHH,
OFSS,,,,,,,BHEL,POLYPLEX,TITAN,,MOTHERSUMI,,,TV18BRDCST,TATASTEEL,TATAGLOBAL,
CONCOR,,,,,,,VEDL,PHILIPCARB,HINDALCO,,TVSMOTOR,,,ZEEL,VEDL,UBL,
HINDUNILVR,,,,,,,MOTHERSUMI,PHOENIXLTD,SBIN,,TATAMOTORS,,,ZEEMEDIA,WELCORP,MCDOWELL-N,
TATASTEEL,,,,,,,ASHOKLEY,PERSISTENT,POWERGRID,,,,,,,,
COALINDIA,,,,,,,TITAN,PIIND,LT,,,,,,,,
CIPLA,,,,,,,ARVIND,PCJEWELLER,ICICIBANK,,,,,,,,
CHOLAFIN,,,,,,,APOLLOHOSP,PARAGMILK,HDFC,,,,,,,,
TORNTPHARM,,,,,,,DISHTV,PAPERPROD,COALINDIA,,,,,,,,
TORNTPOWER,,,,,,,DRREDDY,PNBGILTS,ITC,,,,,,,,
CESC,,,,,,,ADANIPOWER,ORIENTCEM,ONGC,,,,,,,,
GRASIM,,,,,,,ADANIENT,ORIENTBANK,UPL,,,,,,,,
CENTURYTEX,,,,,,,PETRONET,OMAXE,ADANIPORTS,,,,,,,,
MCX,,,,,,,ADANIPORTS,OBEROIRLTY,BAJAJ-AUTO,,,,,,,,
NTPC,,,,,,,GAIL,NOCIL,BAJFINANCE,,,,,,,,
MFSL,,,,,,,SRF,PNBHOUSING,RELIANCE,,,,,,,,
MGL,,,,,,,SUNPHARMA,PGHH,IOC,,,,,,,,
SBIN,,,,,,,GMRINFRA,RADIOCITY,HCLTECH,,,,,,,,
ITC,,,,,,,,3MINDIA,WIPRO,,,,,,,,
HINDZINC,,,,,,,,RAJESHEXPO,HEROMOTOCO,,,,,,,,
LUPIN,,,,,,,,TIMETECHNO,AXISBANK,,,,,,,,
SIEMENS,,,,,,,,TRIGYN,HDFCBANK,,,,,,,,
NBCC,,,,,,,,TRIDENT,ASIANPAINT,,,,,,,,
GODREJCP,,,,,,,,TRENT,MARUTI,,,,,,,,
SHREECEM,,,,,,,,TNPL,CIPLA,,,,,,,,
PIDILITIND,,,,,,,,TNPETRO,ZEEL,,,,,,,,
GLENMARK,,,,,,,,TINPLATE,INFRATEL,,,,,,,,
HAVELLS,,,,,,,,TTKPRESTIG,JSWSTEEL,,,,,,,,
PEL,,,,,,,,THYROCARE,SUNPHARMA,,,,,,,,
HCLTECH,,,,,,,,THERMAX,HINDUNILVR,,,,,,,,
LICHSGFIN,,,,,,,,TEXRAIL,KOTAKBANK,,,,,,,,
HDFC,,,,,,,,TCI,DRREDDY,,,,,,,,
LT,,,,,,,,TATAINVEST,BAJAJFINSV,,,,,,,,
M&M,,,,,,,,TRIVENI,TCS,,,,,,,,
TATAPOWER,,,,,,,,TV18BRDCST,GRASIM,,,,,,,,
TATACHEM,,,,,,,,TATACOFFEE,INFY,,,,,,,,
HDFCBANK,,,,,,,,WALCHANNAG,TECHM,,,,,,,,
FEDERALBNK,,,,,,,,YESBANK,IBULHSGFIN,,,,,,,,
EXIDEIND,,,,,,,,WONDERLA,BHARTIARTL,,,,,,,,
ESCORTS,,,,,,,,WHIRLPOOL,,,,,,,,,
KAJARIACER,,,,,,,,WELSPUNIND,,,,,,,,,
ENGINERSIN,,,,,,,,WELENT,,,,,,,,,
TATAELXSI,,,,,,,,WELCORP,,,,,,,,,
TATAGLOBAL,,,,,,,,WABCOINDIA,,,,,,,,,
HEROMOTOCO,,,,,,,,TWL,,,,,,,,,
EICHERMOT,,,,,,,,VTL,,,,,,,,,
HEXAWARE,,,,,,,,VIPIND,,,,,,,,,
CASTROLIND,,,,,,,,VGUARD,,,,,,,,,
MCDOWELL-N,,,,,,,,USHAMART,,,,,,,,,
TVSMOTOR,,,,,,,,UNIVCABLES,,,,,,,,,
RECLTD,,,,,,,,UCOBANK,,,,,,,,,
AXISBANK,,,,,,,,TATACOMM,,,,,,,,,
UPL,,,,,,,,TAKE,,,,,,,,,
NIITTECH,,,,,,,,RALLIS,,,,,,,,,
AUROPHARMA,,,,,,,,SALZERELEC,,,,,,,,,
CANBK,,,,,,,,SCHNEIDER,,,,,,,,,
PVR,,,,,,,,SCHAEFFLER,,,,,,,,,
VOLTAS,,,,,,,,SBILIFE,,,,,,,,,
ASIANPAINT,,,,,,,,SANOFI,,,,,,,,,
IGL,,,,,,,,SANGHVIMOV,,,,,,,,,
RELIANCE,,,,,,,,SANGHIIND,,,,,,,,,
APOLLOTYRE,,,,,,,,RKFORGE,,,,,,,,,
AMBUJACEM,,,,,,,,SELAN,,,,,,,,,
BAJAJFINSV,,,,,,,,RIIL,,,,,,,,,
AMARAJABAT,,,,,,,,RICOAUTO,,,,,,,,,
MRF,,,,,,,,REPCOHOME,,,,,,,,,
INFRATEL,,,,,,,,RELAXO,,,,,,,,,
MUTHOOTFIN,,,,,,,,RCF,,,,,,,,,
INFY,,,,,,,,RAMCOIND,,,,,,,,,
RAYMOND,,,,,,,,SCI,,,,,,,,,
RAMCOCEM,,,,,,,,SEQUENT,,,,,,,,,
WIPRO,,,,,,,,SYNGENE,,,,,,,,,
ACC,,,,,,,,SPARC,,,,,,,,,
NATIONALUM,,,,,,,,SYNDIBANK,,,,,,,,,
NESTLEIND,,,,,,,,SUVEN,,,,,,,,,
BAJAJ-AUTO,,,,,,,,SUPREMEIND,,,,,,,,,
KOTAKBANK,,,,,,,,SUNTECK,,,,,,,,,
BHARATFORG,,,,,,,,SUNDRMFAST,,,,,,,,,
BATAINDIA,,,,,,,,SUNDARMFIN,,,,,,,,,
UBL,,,,,,,,SOLARINDS,,,,,,,,,
BIOCON,,,,,,,,SHARDAMOTR,,,,,,,,,
ICICIBANK,,,,,,,,SOBHA,,,,,,,,,
BRITANNIA,,,,,,,,SNOWMAN,,,,,,,,,
POWERGRID,,,,,,,,SKFINDIA,,,,,,,,,
BAJFINANCE,,,,,,,,SJVN,,,,,,,,,
BERGEPAINT,,,,,,,,SIS,,,,,,,,,
MINDTREE,,,,,,,,SHRIRAMCIT,,,,,,,,,
BEL,,,,,,,,SOUTHBANK,,,,,,,,,
SAIL,,,,,,,,KEC,,,,,,,,,
BPCL,,,,,,,,NAVNETEDUL,,,,,,,,,
NMDC,,,,,,,,ECLERX,,,,,,,,,
BOSCHLTD,,,,,,,,FINCABLES,,,,,,,,,
JSWSTEEL,,,,,,,,FEL,,,,,,,,,
CADILAHC,,,,,,,,ERIS,,,,,,,,,
BANKBARODA,,,,,,,,EMAMILTD,,,,,,,,,
ULTRACEMCO,,,,,,,,ELECTCAST,,,,,,,,,
BALKRISIND,,,,,,,,EIHOTEL,,,,,,,,,
,,,,,,,,EIDPARRY,,,,,,,,,
,,,,,,,,DREDGECORP,,,,,,,,,
,,,,,,,,CYIENT,,,,,,,,,
,,,,,,,,DMART,,,,,,,,,
,,,,,,,,DIXON,,,,,,,,,
,,,,,,,,DIAMONDYD,,,,,,,,,
,,,,,,,,DHAMPURSUG,,,,,,,,,
,,,,,,,,DEN,,,,,,,,,
,,,,,,,,DCBBANK,,,,,,,,,
,,,,,,,,DBCORP,,,,,,,,,
,,,,,,,,FORTIS,,,,,,,,,
,,,,,,,,FRETAIL,,,,,,,,,
,,,,,,,,GDL,,,,,,,,,
,,,,,,,,GEPIL,,,,,,,,,
,,,,,,,,GREAVESCOT,,,,,,,,,
,,,,,,,,GRANULES,,,,,,,,,
,,,,,,,,GPPL,,,,,,,,,
,,,,,,,,GODREJPROP,,,,,,,,,
,,,,,,,,GODREJIND,,,,,,,,,
,,,,,,,,GODREJAGRO,,,,,,,,,
,,,,,,,,GNFC,,,,,,,,,
,,,,,,,,GMBREW,,,,,,,,,
,,,,,,,,GLOBUSSPR,,,,,,,,,
,,,,,,,,GLAXO,,,,,,,,,
,,,,,,,,GILLETTE,,,,,,,,,
,,,,,,,,GICRE,,,,,,,,,
,,,,,,,,GICHSGFIN,,,,,,,,,
,,,,,,,,GHCL,,,,,,,,,
,,,,,,,,GESHIP,,,,,,,,,
,,,,,,,,DALMIASUG,,,,,,,,,
,,,,,,,,CUB,,,,,,,,,
,,,,,,,,NAVINFLUOR,,,,,,,,,
,,,,,,,,ALLCARGO,,,,,,,,,
,,,,,,,,AVANTIFEED,,,,,,,,,
,,,,,,,,AUTOAXLES,,,,,,,,,
,,,,,,,,AUBANK,,,,,,,,,
,,,,,,,,ATUL,,,,,,,,,
,,,,,,,,ATFL,,,,,,,,,
,,,,,,,,ASTRAZEN,,,,,,,,,
,,,,,,,,ASAHIINDIA,,,,,,,,,
,,,,,,,,ALKEM,,,,,,,,,
,,,,,,,,CROMPTON,,,,,,,,,
,,,,,,,,ALBK,,,,,,,,,
,,,,,,,,AKZOINDIA,,,,,,,,,
,,,,,,,,AJANTPHARM,,,,,,,,,
,,,,,,,,AIAENG,,,,,,,,,
,,,,,,,,ACE,,,,,,,,,
,,,,,,,,ABFRL,,,,,,,,,
,,,,,,,,ABB,,,,,,,,,
,,,,,,,,BAJAJHLDNG,,,,,,,,,
,,,,,,,,BALRAMCHIN,,,,,,,,,
,,,,,,,,BANCOINDIA,,,,,,,,,
,,,,,,,,BBTC,,,,,,,,,
,,,,,,,,CRISIL,,,,,,,,,
,,,,,,,,COROMANDEL,,,,,,,,,
,,,,,,,,COCHINSHIP,,,,,,,,,
,,,,,,,,CHENNPETRO,,,,,,,,,
,,,,,,,,CGCL,,,,,,,,,
,,,,,,,,CEREBRAINT,,,,,,,,,
,,,,,,,,CENTURYPLY,,,,,,,,,
,,,,,,,,CENTRUM,,,,,,,,,
,,,,,,,,CEATLTD,,,,,,,,,
,,,,,,,,CDSL,,,,,,,,,
,,,,,,,,CAPACITE,,,,,,,,,
,,,,,,,,CANFINHOME,,,,,,,,,
,,,,,,,,BSE,,,,,,,,,
,,,,,,,,BLUEDART,,,,,,,,,
,,,,,,,,BEML,,,,,,,,,
,,,,,,,,GSFC,,,,,,,,,
,,,,,,,,GSKCONS,,,,,,,,,
,,,,,,,,GSPL,,,,,,,,,
,,,,,,,,KSCL,,,,,,,,,
,,,,,,,,MAHINDCIE,,,,,,,,,
,,,,,,,,M50,,,,,,,,,
,,,,,,,,M&MFIN,,,,,,,,,
,,,,,,,,LINCOLN,,,,,,,,,
,,,,,,,,LIBERTSHOE,,,,,,,,,
,,,,,,,,LALPATHLAB,,,,,,,,,
,,,,,,,,KTKBANK,,,,,,,,,
,,,,,,,,KOTAKNIFTY,,,,,,,,,
,,,,,,,,GUJALKALI,,,,,,,,,
,,,,,,,,KIRIINDUS,,,,,,,,,
,,,,,,,,KEI,,,,,,,,,
,,,,,,,,AARTIIND,,,,,,,,,
,,,,,,,,KARURVYSYA,,,,,,,,,
,,,,,,,,KANSAINER,,,,,,,,,
,,,,,,,,KALPATPOWR,,,,,,,,,
,,,,,,,,JYOTHYLAB,,,,,,,,,
,,,,,,,,MAHLOG,,,,,,,,,
,,,,,,,,MAHSEAMLES,,,,,,,,,
,,,,,,,,MAJESCO,,,,,,,,,
,,,,,,,,MANALIPETC,,,,,,,,,
,,,,,,,,NAUKRI,,,,,,,,,
,,,,,,,,NATCOPHARM,,,,,,,,,
,,,,,,,,MUNJALAU,,,,,,,,,
,,,,,,,,MUKANDLTD,,,,,,,,,
,,,,,,,,MRPL,,,,,,,,,
,,,,,,,,MPHASIS,,,,,,,,,
,,,,,,,,MOLDTKPAC,,,,,,,,,
,,,,,,,,MOIL,,,,,,,,,
,,,,,,,,MMTC,,,,,,,,,
,,,,,,,,MINDAIND,,,,,,,,,
,,,,,,,,MIDHANI,,,,,,,,,
,,,,,,,,MEGH,,,,,,,,,
,,,,,,,,MASTEK,,,,,,,,,
,,,,,,,,MASFIN,,,,,,,,,
,,,,,,,,MANINFRA,,,,,,,,,
,,,,,,,,JUBILANT,,,,,,,,,
,,,,,,,,JSWENERGY,,,,,,,,,
,,,,,,,,JSLHISAR,,,,,,,,,
,,,,,,,,IEX,,,,,,,,,
,,,,,,,,IDBI,,,,,,,,,
,,,,,,,,ICICINIFTY,,,,,,,,,
,,,,,,,,ICICIGI,,,,,,,,,
,,,,,,,,IBULHSGFIN,,,,,,,,,
,,,,,,,,HSIL,,,,,,,,,
,,,,,,,,HONAUT,,,,,,,,,
,,,,,,,,HINDCOPPER,,,,,,,,,
,,,,,,,,HIKAL,,,,,,,,,
,,,,,,,,HGS,,,,,,,,,
,,,,,,,,HEIDELBERG,,,,,,,,,
,,,,,,,,HDFCLIFE,,,,,,,,,
,,,,,,,,HDFCAMC,,,,,,,,,
,,,,,,,,HBLPOWER,,,,,,,,,
,,,,,,,,GUJGASLTD,,,,,,,,,
,,,,,,,,GUJFLUORO,,,,,,,,,
,,,,,,,,IDFC,,,,,,,,,
,,,,,,,,IFCI,,,,,,,,,
,,,,,,,,JMFINANCIL,,,,,,,,,
,,,,,,,,INDHOTEL,,,,,,,,,
,,,,,,,,JKTYRE,,,,,,,,,
,,,,,,,,JKPAPER,,,,,,,,,
,,,,,,,,JKCEMENT,,,,,,,,,
,,,,,,,,JAYSREETEA,,,,,,,,,
,,,,,,,,JAMNAAUTO,,,,,,,,,
,,,,,,,,JAICORPLTD,,,,,,,,,
,,,,,,,,IRB,,,,,,,,,
,,,,,,,,IPCALAB,,,,,,,,,
,,,,,,,,IOB,,,,,,,,,
,,,,,,,,INTELLECT,,,,,,,,,
,,,,,,,,INOXLEISUR,,,,,,,,,
,,,,,,,,INFIBEAM,,,,,,,,,
,,,,,,,,INDIGO,,,,,,,,,
,,,,,,,,INDIANB,,,,,,,,,
,,,,,,,,INDIACEM,,,,,,,,,
,,,,,,,,ZEEL,,,,,,,,,
